Year,Values
1996 JAN,32.9
1996 FEB,34.9
1996 MAR,35.2
1996 APR,35.4
1996 MAY,35.1
1996 JUN,35.1
1996 JUL,34.9
1996 AUG,34.9
1996 SEP,35
1996 OCT,34.9
1996 NOV,35
1996 DEC,34.9
1997 JAN,33.8
1997 FEB,36
1997 MAR,35.7
1997 APR,36.1
1997 MAY,36.3
1997 JUN,36.7
1997 JUL,36.7
1997 AUG,36.8
1997 SEP,37
1997 OCT,37.2
1997 NOV,37.5
1997 DEC,37.7
1998 JAN,38.4
1998 FEB,39.9
1998 MAR,38.7
1998 APR,38.4
1998 MAY,38.1
1998 JUN,38.3
1998 JUL,38.4
1998 AUG,38.7
1998 SEP,39.1
1998 OCT,39.1
1998 NOV,39.2
1998 DEC,38.9
1999 JAN,36
1999 FEB,37.8
1999 MAR,37.4
1999 APR,38.1
1999 MAY,38.7
1999 JUN,39.5
1999 JUL,39.7
1999 AUG,39.9
1999 SEP,40.3
1999 OCT,40.6
1999 NOV,41
1999 DEC,41.4
2000 JAN,46.2
2000 FEB,47.8
2000 MAR,46.9
2000 APR,50.1
2000 MAY,50.5
2000 JUN,50.9
2000 JUL,50.6
2000 AUG,50.4
2000 SEP,50.5
2000 OCT,50.3
2000 NOV,50.4
2000 DEC,50.1
2001 JAN,46.9
2001 FEB,47.9
2001 MAR,47.1
2001 APR,47.1
2001 MAY,47.3
2001 JUN,47.9
2001 JUL,48
2001 AUG,48
2001 SEP,48
2001 OCT,47.9
2001 NOV,47.8
2001 DEC,47.6
2002 JAN,44.3
2002 FEB,45.9
2002 MAR,46.3
2002 APR,47.4
2002 MAY,47.6
2002 JUN,47.3
2002 JUL,46.9
2002 AUG,46.6
2002 SEP,46.8
2002 OCT,46.8
2002 NOV,46.8
2002 DEC,46.7
2003 JAN,48
2003 FEB,50.2
2003 MAR,51.4
2003 APR,51.3
2003 MAY,50.8
2003 JUN,51
2003 JUL,51.2
2003 AUG,51.3
2003 SEP,51.7
2003 OCT,51.8
2003 NOV,51.8
2003 DEC,51.4
2004 JAN,46.7
2004 FEB,48.6
2004 MAR,49.9
2004 APR,50.6
2004 MAY,51
2004 JUN,51.9
2004 JUL,52.4
2004 AUG,52.9
2004 SEP,53.4
2004 OCT,54.2
2004 NOV,54.4
2004 DEC,54.3
2005 JAN,48
2005 FEB,50.8
2005 MAR,51.8
2005 APR,53.4
2005 MAY,54.3
2005 JUN,55.3
2005 JUL,56
2005 AUG,56.1
2005 SEP,56.6
2005 OCT,56.6
2005 NOV,56.6
2005 DEC,56.2
2006 JAN,60.8
2006 FEB,61.7
2006 MAR,63.5
2006 APR,64.2
2006 MAY,65.1
2006 JUN,65.9
2006 JUL,66.5
2006 AUG,66.7
2006 SEP,66.9
2006 OCT,66.5
2006 NOV,66.3
2006 DEC,65.7
2007 JAN,60.5
2007 FEB,61.5
2007 MAR,64.1
2007 APR,65.8
2007 MAY,66.8
2007 JUN,67.9
2007 JUL,68.5
2007 AUG,68.7
2007 SEP,69.1
2007 OCT,69.4
2007 NOV,70
2007 DEC,70.4
2008 JAN,71.2
2008 FEB,72.9
2008 MAR,74.4
2008 APR,76.1
2008 MAY,77
2008 JUN,78.5
2008 JUL,79.7
2008 AUG,79.8
2008 SEP,80.1
2008 OCT,79.7
2008 NOV,79
2008 DEC,77.2
2009 JAN,62.3
2009 FEB,63.3
2009 MAR,64.6
2009 APR,65.3
2009 MAY,66.2
2009 JUN,67.9
2009 JUL,68.7
2009 AUG,69.3
2009 SEP,70
2009 OCT,70.6
2009 NOV,70.9
2009 DEC,70.6
2010 JAN,62.9
2010 FEB,66
2010 MAR,68.7
2010 APR,70.7
2010 MAY,72.2
2010 JUN,72.9
2010 JUL,73.5
2010 AUG,73.6
2010 SEP,73.6
2010 OCT,73.9
2010 NOV,74.3
2010 DEC,73.9
2011 JAN,77.8
2011 FEB,80.7
2011 MAR,83
2011 APR,84.5
2011 MAY,85.8
2011 JUN,86.4
2011 JUL,87
2011 AUG,87.1
2011 SEP,87.4
2011 OCT,87.7
2011 NOV,88.2
2011 DEC,88.1
2012 JAN,84.8
2012 FEB,86.8
2012 MAR,91.1
2012 APR,90.1
2012 MAY,90.1
2012 JUN,88.9
2012 JUL,88.7
2012 AUG,88.5
2012 SEP,88.8
